dep_red,dep_sd,hyp_red,hyp_sd,fwhm_count,fwhm_sd,da,da_sd,Magnitude_SD,magnitude_skewness,label
56.0,1.7320508075688772,196.0,4.630064794363034,4.0,0.28922174831592956,158.0,1.192424001771182,60.88595035320131,-0.1022837316723978,-1.0
57.0,1.6153559979150107,196.0,4.630064794363034,4.0,0.28861720714493255,198.0,1.2930100540985752,60.698815542019204,-0.10073072828901272,-1.0
56.0,1.7320508075688772,196.0,4.630064794363034,4.0,0.29022936152917295,184.0,1.3228756555322954,61.4010632977661,-0.09996800569723824,-1.0
56.0,1.7320508075688772,196.0,4.630064794363034,4.0,0.28499185757972856,166.0,1.2930100540985752,60.16285908650375,-0.11007214953256672,-1.0
57.0,1.6153559979150107,196.0,4.630064794363034,4.0,0.2842499335014157,222.0,1.3693063937629153,60.31686896461946,-0.10739562593350238,-1.0
56.0,1.7320508075688772,196.0,4.630064794363034,4.0,0.298257622639368,178.0,1.25,59.76072449681656,-0.10608897255694696,-1.0
56.0,1.7320508075688772,196.0,4.630064794363034,4.0,0.2981099229191539,216.0,1.299038105676658,60.29462055877336,-0.10118341885133511,-1.0
67.0,1.964529205687714,196.0,4.630064794363034,4.0,0.2885458377310052,174.0,1.3863170633011772,61.17771538038151,-0.10277458296382504,-1.0
67.0,1.964529205687714,196.0,4.630064794363034,4.0,0.3004138793317726,138.0,1.118033988749895,60.22897155991315,-0.10504059821536271,-1.0
57.0,1.6153559979150107,196.0,4.630064794363034,4.0,0.29248430211984594,160.0,1.2183492931011204,59.69073336568714,-0.10464310226594994,-1.0
51.0,1.6909686573085854,196.0,4.630064794363034,4.0,0.29341704118190526,202.0,1.340475661845451,61.850806100877165,-0.0996037413861863,-1.0
56.0,1.7320508075688772,196.0,4.630064794363034,4.0,0.29274079654902296,206.0,1.3863170633011772,59.51831150528955,-0.10632840830432759,-1.0
57.0,1.6153559979150107,196.0,4.630064794363034,4.0,0.2866058757049773,176.0,1.4086784586980805,60.67273467387399,-0.1093430986998375,-1.0
